device,loop,zone,description,subtype,type,name,locationId
2,37,3048,SS-DCP-IT4-L38-01,a03,MECH,L37 - D2 - Z3048 - SS-DCP-IT4-L38-01 - MECH,
3,37,3048,SS-DCP-IT4-L39-01,a03,MECH,L37 - D3 - Z3048 - SS-DCP-IT4-L39-01 - MECH,
4,37,3048,SS-DCP-IT4-L40-01,a03,MECH,L37 - D4 - Z3048 - SS-DCP-IT4-L40-01 - MECH,
5,37,3048,SS-DCP-IT4-L41-01,a03,MECH,L37 - D5 - Z3048 - SS-DCP-IT4-L41-01 - MECH,
6,37,3048,SS-DCP-IT4-L42-01,a03,MECH,L37 - D6 - Z3048 - SS-DCP-IT4-L42-01 - MECH,
7,37,3048,SS-DCP-IT4-L43-01,a03,MECH,L37 - D7 - Z3048 - SS-DCP-IT4-L43-01 - MECH,
8,37,3048,SS-DCP-IT4-L44-01,a03,MECH,L37 - D8 - Z3048 - SS-DCP-IT4-L44-01 - MECH,
9,37,3048,SS-DCP-IT4-L45-01,a03,MECH,L37 - D9 - Z3048 - SS-DCP-IT4-L45-01 - MECH,
10,37,3048,SS-DCP-IT4-L46-01,a03,MECH,L37 - D10 - Z3048 - SS-DCP-IT4-L46-01 - MECH,
11,37,3048,SS-DCP-IT4-L47-01,a03,MECH,L37 - D11 - Z3048 - SS-DCP-IT4-L47-01 - MECH,
12,37,3048,SS-DCP-IT4-L48-01,a03,MECH,L37 - D12 - Z3048 - SS-DCP-IT4-L48-01 - MECH,
13,37,3048,SS-DCP-IT4-L49-01,a03,MECH,L37 - D13 - Z3048 - SS-DCP-IT4-L49-01 - MECH,
14,37,3048,SS-DCP-IT4-L50-01,a03,MECH,L37 - D14 - Z3048 - SS-DCP-IT4-L50-01 - MECH,
15,37,3048,SS-DCP-IT4-L51-01,a03,MECH,L37 - D15 - Z3048 - SS-DCP-IT4-L51-01 - MECH,
50,37,1309,IRD-IT4-L37-EFS-03 SPRINK,a03,SPRINK,L37 - D50 - Z1309 - IRD-IT4-L37-EFS-03 SPRINK - SPRINK,IRD-IT4-L37-EFS-03
51,37,1310,IRD-IT4-L38-EFS-03 SPRINK,a03,SPRINK,L37 - D51 - Z1310 - IRD-IT4-L38-EFS-03 SPRINK - SPRINK,IRD-IT4-L38-EFS-03
52,37,1311,IRD-IT4-L39-EFS-03 SPRINK,a03,SPRINK,L37 - D52 - Z1311 - IRD-IT4-L39-EFS-03 SPRINK - SPRINK,IRD-IT4-L39-EFS-03
53,37,1312,IRD-IT4-L40-EFS-03 SPRINK,a03,SPRINK,L37 - D53 - Z1312 - IRD-IT4-L40-EFS-03 SPRINK - SPRINK,IRD-IT4-L40-EFS-03
54,37,1313,IRD-IT4-L41-EFS-03 SPRINK,a03,SPRINK,L37 - D54 - Z1313 - IRD-IT4-L41-EFS-03 SPRINK - SPRINK,IRD-IT4-L41-EFS-03
55,37,1314,IRD-IT4-L42-EFS-03 SPRINK,a03,SPRINK,L37 - D55 - Z1314 - IRD-IT4-L42-EFS-03 SPRINK - SPRINK,IRD-IT4-L42-EFS-03
56,37,1315,IRD-IT4-L43-EFS-03 SPRINK,a03,SPRINK,L37 - D56 - Z1315 - IRD-IT4-L43-EFS-03 SPRINK - SPRINK,IRD-IT4-L43-EFS-03
57,37,1316,IRD-IT4-L44-EFS-03 SPRINK,a03,SPRINK,L37 - D57 - Z1316 - IRD-IT4-L44-EFS-03 SPRINK - SPRINK,IRD-IT4-L44-EFS-03
58,37,1317,IRD-IT4-L45-EFS-03 SPRINK,a03,SPRINK,L37 - D58 - Z1317 - IRD-IT4-L45-EFS-03 SPRINK - SPRINK,IRD-IT4-L45-EFS-03
59,37,1318,IRD-IT4-L46-EFS-03 SPRINK,a03,SPRINK,L37 - D59 - Z1318 - IRD-IT4-L46-EFS-03 SPRINK - SPRINK,IRD-IT4-L46-EFS-03
60,37,1319,IRD-IT4-L47-EFS-03 SPRINK,a03,SPRINK,L37 - D60 - Z1319 - IRD-IT4-L47-EFS-03 SPRINK - SPRINK,IRD-IT4-L47-EFS-03
61,37,1320,IRD-IT4-L48-EFS-03 SPRINK,a03,SPRINK,L37 - D61 - Z1320 - IRD-IT4-L48-EFS-03 SPRINK - SPRINK,IRD-IT4-L48-EFS-03
62,37,1321,IRD-IT4-L49-EFS-03 SPRINK,a03,SPRINK,L37 - D62 - Z1321 - IRD-IT4-L49-EFS-03 SPRINK - SPRINK,IRD-IT4-L49-EFS-03
63,37,1322,IRD-IT4-L50-EFS-03 SPRINK,a03,SPRINK,L37 - D63 - Z1322 - IRD-IT4-L50-EFS-03 SPRINK - SPRINK,IRD-IT4-L50-EFS-03
