zone,description,raw
1130,SPRINKLER TOWER 1 LEVEL 08,Z 1 Z 1
1132,SPRINKLER TOWER 1 LEVEL 09,Z 1 Z 1
1134,SPRINKLER TOWER 1 LEVEL 10,Z 1 Z 1
1136,SPRINKLER TOWER 1 LEVEL 11,Z 1 Z 1
1138,SPRINKLER TOWER 1 LEVEL 12,Z 1 Z 1
1140,SPRINKLER TOWER 1 LEVEL 13,Z 1 Z 1
1142,SPRINKLER TOWER 1 LEVEL 14,Z 1 Z 1
1144,SPRINKLER TOWER 1 LEVEL 15,Z 1 Z 1
1146,SPRINKLER TOWER 1 LEVEL 16,Z 1 Z 1
1148,SPRINKLER TOWER 1 LEVEL 17,Z 1 Z 1
1150,SPRINKLER TOWER 1 LEVEL 18,Z 1 Z 1
1152,SPRINKLER TOWER 1 LEVEL 19,Z 1 Z 1
1154,SPRINKLER TOWER 1 LEVEL 20,Z 1 Z 1
1156,SPRINKLER TOWER 1 LEVEL 21,Z 1 Z 1
1158,SPRINKLER TOWER 1 LEVEL 22,Z 1 Z 1
1160,SPRINKLER TOWER 1 LEVEL 23,Z 1 Z 1
1162,SPRINKLER TOWER 1 LEVEL 24,Z 1 Z 1
1164,SPRINKLER TOWER 1 LEVEL 25,Z 1 Z 1
1166,SPRINKLER TOWER 1 LEVEL 26,Z 1 Z 1
1168,SPRINKLER TOWER 1 LEVEL 27,Z 1 Z 1
1170,SPRINKLER TOWER 1 LEVEL 28,Z 1 Z 1
1172,SPRINKLER TOWER 1 LEVEL 29,Z 1 Z 1
1174,SPRINKLER TOWER 1 LEVEL 30,Z 1 Z 1
1176,SPRINKLER TOWER 1 LEVEL 31,Z 1 Z 1
1178,SPRINKLER TOWER 1 LEVEL 32,Z 1 Z 1
1180,SPRINKLER TOWER 1 LEVEL 33,Z 1 Z 1
1182,SPRINKLER TOWER 1 LEVEL 34,Z 1 Z 1
